Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
IL-185,,48.9,111,5,43.9
IL-187,,41.8,100,4.1,37.7
IL-189,,48.4,107,4.6,43.8
IL-191,,48.6,111,4.9,43.7
IL-193,,49.9,111,5.1,44.8
IL-195,,41.1,110,5.3,35.8
IL-197,,41,102,4,37
IL-199,,50.2,109,5.2,45
IL-201,,39.8,109,5.3,34.5
IL-203,,42.5,106,4.9,37.6
IN-001,,42.4,108,5.3,37.1
IN-003,,41.6,108,4.9,36.7
IN-005,,47.4,112,5.8,41.6
IN-007,,42.3,104,4.6,37.7
IN-009,,43.1,106,5,38.1
IN-011,,43.5,108,5.3,38.2
IN-013,,46.5,112,5.6,40.9
IN-015,,42.6,104,4.5,38.1
IN-017,,41.7,102,4.1,37.6
IN-019,,49.9,115,6.3,43.6
IN-021,,45,103,4.4,40.6
IN-023,,43,106,4.9,38.1
IN-025,,48.7,110,5,43.7
IN-027,,48,113,5.7,42.3
IN-029,,47.7,115,6.2,41.5
IN-031,,46.7,110,5.7,41
IN-033,,41,109,5.3,35.7
IN-035,,44.4,110,5.8,38.6
IN-037,,48.6,113,5.4,43.2
IN-039,,40,104,4.6,35.4
IN-041,,45.2,113,5.8,39.4
IN-043,,50.3,115,6.5,43.8
IN-045,,43.7,106,4.7,39
IN-047,,46.1,113,5.7,40.4
IN-049,,41.2,106,4.7,36.5
IN-051,,49.3,112,5.2,44.1
IN-053,,42.9,108,4.6,38.3
IN-055,,46.2,107,5.1,41.1
IN-057,,43.9,108,5,38.9
IN-059,,44.8,109,5.2,39.6
IN-061,,50.1,114,6.1,44
IN-063,,44.2,106,5,39.2
IN-065,,44.5,112,5.9,38.6
IN-067,,42.4,104,4.3,38.1
IN-069,,42.1,106,4.8,37.3
IN-071,,47.9,111,5.7,42.2
IN-073,,41.1,101,4,37.1
IN-075,,43.2,108,5.4,37.8
IN-077,,48.9,115,6.3,42.6
IN-079,,48,114,5.9,42.1
IN-081,,45.7,110,5.4,40.3
IN-083,,48,110,5.2,42.8
IN-085,,40.9,105,4.8,36.1
IN-087,,40.2,108,5,35.2
IN-089,,40.4,100,3.7,36.7
IN-091,,39.9,99,3.9,36
IN-093,,47.2,110,5.4,41.8
IN-095,,44.4,109,5.4,39
